,date,location_ordinal,sku,price,discount,color_desc,style_desc,pid_desc,district_ordinal,state_ordinal,Discount,store_ID
22534,2016-10-22,3,651,8.0,0.0,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.0,943
22581,2016-10-16,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
22614,2016-10-19,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
22699,2016-10-28,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
22775,2016-10-25,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
22805,2016-10-24,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
22999,2016-11-02,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
23413,2016-11-30,3,651,8.0,1.95,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.24375,943
23516,2016-11-26,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
23552,2016-11-25,3,651,8.0,4.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.575,943
23759,2016-12-06,3,651,8.0,2.61,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.32625,943
24048,2016-12-24,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
24096,2016-12-23,3,651,8.0,1.74,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.2175,943
24146,2016-12-26,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
24229,2016-12-19,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
24399,2017-01-03,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
24447,2017-01-02,3,651,8.0,2.6,BLACK,PCTN BLACK BK,PCTN BLACK BK,4,9,0.325,943
